order_item_id,order_id,item_id,quantity
397,193,3,1
398,193,8,1
399,193,12,1
400,194,4,3
401,195,8,2
402,195,20,2
403,196,5,2
404,197,13,1
405,198,20,1
406,198,19,1
407,199,13,1
408,199,8,3
409,199,20,1
410,200,15,3
411,201,13,1
412,201,10,2
413,202,1,3
414,203,16,2
415,203,2,2
416,204,14,2
417,204,3,2
418,204,7,2
419,205,5,3
420,205,4,2
421,206,10,3
422,206,17,1
423,207,14,1
424,207,18,3
425,207,5,1
426,208,13,2
427,208,5,1
428,209,11,1
429,209,6,2
430,209,19,3
431,210,3,1
432,210,20,2
433,210,10,2
434,211,1,3
435,211,17,3
436,212,3,2
437,212,17,1
438,213,2,2
439,214,14,1
440,214,9,3
441,215,5,2
442,215,4,3
443,215,11,2
444,216,17,1
445,216,15,2
446,217,6,2
447,217,11,3
448,217,19,3
449,218,10,3
450,219,20,3
451,220,14,3
452,221,6,2
453,221,7,2
454,222,7,2
455,223,17,2
456,223,10,3
457,224,13,2
458,225,12,2
459,225,10,1
460,226,16,2
461,227,5,3
462,227,7,2
463,227,10,3
464,228,3,1
465,228,16,2
466,229,13,1
467,229,4,2
468,230,13,1
469,231,1,3
470,231,7,2
471,231,4,2
472,232,17,1
473,232,15,1
474,232,8,3
475,233,19,2
476,234,6,1
477,234,14,3
478,234,11,3
479,235,13,1
480,236,17,3
481,236,15,1
482,237,7,3
483,237,15,1
484,238,7,2
485,239,15,3
486,240,5,1
487,240,9,1
488,241,8,3
489,242,3,3
490,242,8,2
491,243,1,3
492,244,18,3
493,244,2,2
494,244,6,1
495,245,7,3
496,245,14,2
497,246,11,2
498,246,17,2
499,247,12,1
500,247,2,3
501,247,3,3
502,248,17,1
503,248,13,3
504,249,17,1
505,250,11,2
506,250,7,2
507,250,18,1
508,251,1,3
509,251,20,2
510,252,1,3
511,252,19,2
512,253,7,3
513,253,10,1
514,253,20,2
515,254,9,3
516,255,16,1
517,255,14,2
518,255,15,2
519,256,16,3
520,256,17,1
521,256,11,2
522,257,1,1
523,257,8,3
524,257,7,3
525,258,15,3
526,259,8,3
527,260,4,3
528,260,9,1
529,261,18,2
530,261,5,3
531,262,6,2
532,262,10,3
533,262,5,2
534,263,14,1
535,263,19,3
536,264,8,1
537,265,1,3
538,265,7,2
539,266,10,3
540,266,14,2
541,267,18,2
542,267,14,3
543,268,20,2
544,268,19,1
545,269,14,1
546,269,15,1
547,269,3,2
548,270,7,2
549,270,17,2
550,270,8,1
551,271,9,1
552,271,19,3
553,272,11,1
554,273,19,2
555,273,8,2
556,274,4,3
557,274,1,1
558,274,11,2
559,275,10,1
560,275,4,3
561,276,15,2
562,276,12,3
563,277,14,1
564,277,10,2
565,277,9,3
566,278,18,2
567,279,16,3
568,280,2,1
569,280,13,3
570,280,7,2
571,281,4,2
572,282,18,2
573,282,19,2
574,282,17,1
575,283,14,3
576,283,2,2
577,283,20,3
578,284,15,3
579,285,14,3
580,285,1,1
581,286,2,3
582,286,13,3
583,286,19,2
584,287,19,3
585,287,20,1
586,288,11,3
587,288,14,1
588,288,10,1
589,289,6,2
590,290,18,1
591,290,20,3
592,290,17,2
593,291,17,2
594,292,4,2
595,292,20,2
596,292,14,1
597,293,16,1
598,293,12,3
599,293,3,3
600,294,20,3
601,294,19,1
602,294,16,1
603,295,9,3
604,296,11,2
605,296,3,1
606,297,10,2
607,298,7,2
608,299,12,1
609,299,20,1
610,299,2,3
611,300,16,3
612,301,11,3
613,301,6,2
614,302,3,1
615,302,4,2
616,303,14,2
617,303,7,1
618,303,13,3
619,304,10,2
620,304,5,3
621,304,12,3
622,305,4,1
623,305,12,3
624,305,3,2
625,306,1,2
626,307,12,3
627,307,20,1
628,307,15,1
629,308,15,2
630,309,8,1
631,309,1,2
632,309,10,2
633,310,2,1
634,310,1,1
635,310,16,2
636,311,18,1
637,311,10,1
638,311,16,2
639,312,14,3
640,312,16,2
641,312,2,3
642,313,4,3
643,313,17,1
644,313,11,1
645,314,16,1
646,314,2,3
647,314,8,2
648,315,4,1
649,315,17,1
650,315,1,2
651,316,4,2
652,316,12,3
653,317,18,2
654,317,2,2
655,317,12,2
656,318,19,3
657,318,8,2
658,318,3,3
659,319,9,3
660,319,2,2
661,320,6,3
662,320,13,1
663,321,3,3
664,321,16,2
665,321,8,3
666,322,10,1
667,322,9,3
668,322,2,2
669,323,17,2
670,324,9,1
671,324,2,1
672,324,20,2
673,325,15,2
674,325,17,1
675,325,11,3
676,326,10,1
677,326,8,2
678,327,15,1
679,327,7,1
680,327,11,3
681,328,8,3
682,329,10,2
683,329,15,1
684,329,1,1
685,330,9,1
686,330,1,3
687,331,5,1
688,332,16,2
689,333,19,1
690,333,2,3
691,334,1,1
692,335,14,1
693,336,2,1
694,336,10,3
695,337,14,2
696,337,19,2
697,338,2,1
698,338,11,3
699,338,16,3
700,339,16,1
701,339,4,1
702,340,13,1
703,340,18,2
704,340,9,2
705,341,19,3
706,341,13,3
707,342,8,1
708,342,9,2
709,342,15,2
710,343,6,1
711,343,9,2
712,343,12,2
713,344,20,3
714,344,14,1
715,344,9,1
716,345,4,1
717,346,15,3
718,346,13,2
719,347,19,1
720,348,11,2
721,349,5,1
722,349,15,1
723,350,18,3
724,350,13,1
725,350,19,3
726,351,3,3
727,351,17,2
728,352,6,3
729,352,14,3
730,353,3,2
731,353,15,1
732,353,20,1
733,354,5,3
734,355,5,1
735,355,8,1
736,355,15,2
737,356,20,1
738,356,11,1
739,356,2,3
740,357,14,1
741,357,15,2
742,357,16,1
743,358,20,3
744,358,14,2
745,358,15,2
746,359,15,1
747,360,5,3
748,360,18,3
749,360,6,2
750,361,20,3
751,361,17,1
752,361,19,2
753,362,17,3
754,363,6,3
755,364,3,3
756,364,6,3
757,364,1,2
758,365,6,3
759,366,10,1
760,366,19,1
761,366,15,1
762,367,16,1
763,368,4,3
764,369,1,3
765,369,15,2
766,370,16,1
767,370,19,1
768,371,8,2
769,371,14,3
770,372,7,2
771,372,18,1
772,372,8,1
773,373,14,3
774,374,8,1
775,375,13,3
776,375,11,2
777,376,4,2
778,377,13,2
779,377,8,3
780,377,12,1
781,378,14,3
782,378,7,2
783,379,10,1
784,380,18,2
785,380,5,3
786,381,13,2
787,382,16,2
788,382,5,1
789,382,8,2
790,383,1,2
791,384,18,2
792,384,14,1
793,384,20,3
794,385,5,3
795,385,17,3
796,386,5,2
797,387,20,3
798,388,8,1
799,388,14,2
800,389,5,1
801,389,17,3
802,389,12,1
803,390,8,1
804,390,6,1
805,391,19,2
806,391,4,2
807,391,10,1
808,392,17,1
809,393,8,1
810,394,8,1
811,395,10,2
812,395,20,2
813,395,8,2
814,396,4,2
815,396,3,2
816,397,12,1
817,397,2,1
818,398,19,3
819,398,10,1
820,399,13,3
821,399,16,3
822,399,19,3
823,400,13,3
824,400,3,1
825,401,12,1
826,401,1,3
827,402,12,2
828,402,15,2
829,402,13,2
830,403,6,1
831,403,10,3
832,404,10,2
833,405,7,3
834,405,11,1
835,406,6,3
836,407,13,3
837,407,14,2
838,407,12,3
839,408,20,2
840,409,7,1
841,409,5,1
842,409,15,2
843,410,15,2
844,410,4,2
845,410,13,2
846,411,10,2
847,411,13,2
848,412,3,2
849,412,1,3
850,412,7,1
851,413,2,3
852,413,20,2
853,413,13,3
854,414,14,1
855,414,17,2
856,415,14,1
857,415,15,2
858,416,20,1
859,417,2,2
860,417,11,1
861,418,18,1
862,419,6,3
863,419,19,3
864,419,4,1
865,420,6,2
866,421,3,3
867,421,20,2
868,422,1,1
869,423,4,2
870,423,13,1
871,424,14,2
872,425,13,1
873,426,7,1
874,427,9,3
875,427,19,3
876,428,3,1
877,429,16,1
878,429,4,3
879,429,13,2
880,430,6,2
881,430,9,1
882,430,16,3
883,431,1,1
884,432,7,1
885,432,8,1
886,433,20,2
887,433,14,2
888,433,12,3
889,434,14,3
890,435,8,1
891,436,1,2
892,436,14,3
893,437,6,3
894,438,18,2
895,438,11,3
896,438,15,3
897,439,1,2
898,440,14,3
899,440,18,1
900,441,2,2
901,441,6,2
902,441,5,3
903,442,11,3
904,443,8,2
905,443,19,3
906,443,4,2
907,444,16,2
908,445,16,2
909,446,6,3
910,446,20,3
911,447,5,2
912,447,7,2
913,447,12,3
914,448,8,3
915,448,15,1
916,449,11,3
917,449,1,3
918,449,6,1
919,450,8,1
920,450,10,1
921,450,14,1
922,451,3,3
923,451,8,1
924,452,13,1
925,453,3,1
926,453,12,2
927,454,1,1
928,454,3,1
929,454,17,3
930,455,17,2
931,455,18,1
932,455,14,3
933,456,9,3
934,457,5,3
935,457,9,3
936,457,14,2
937,458,13,2
938,459,16,3
939,460,16,1
940,461,15,2
941,461,9,3
942,462,13,2
943,463,14,2
944,464,6,3
945,465,10,3
946,465,18,1
947,465,13,2
948,466,4,3
949,466,14,3
950,467,15,1
951,468,3,3
952,468,20,3
953,468,12,2
954,469,13,1
955,470,11,1
956,470,13,2
957,470,10,1
958,471,13,1
959,472,13,2
960,472,18,3
961,473,14,3
962,474,10,1
963,475,14,1
964,476,3,3
965,476,12,3
966,477,20,1
967,477,10,3
968,478,6,3
969,479,19,3
970,479,8,2
971,479,2,1
972,480,12,3
973,480,11,2
974,480,15,1
975,481,9,2
976,482,10,3
977,482,2,1
978,482,14,2
979,483,14,3
980,484,11,2
981,484,14,2
982,484,10,3
983,485,7,1
984,485,12,1
985,485,10,1
986,486,12,3
987,487,5,1
988,487,15,2
989,487,8,2
990,488,18,2
991,488,11,3
992,488,2,1
993,489,20,3
994,490,14,3
995,490,3,2
996,490,1,1
997,491,4,3
998,491,19,2
999,492,16,3
1000,492,14,2
1001,492,17,2
1002,493,6,1
1003,494,6,3
1004,494,16,3
1005,495,17,2
1006,496,13,3
1007,496,18,3
1008,496,12,1
1009,497,5,1
1010,498,2,3
1011,499,6,1
1012,499,11,3
1013,499,20,3
1014,500,12,2
1015,500,1,3
1016,500,6,2
1017,501,3,1
1018,502,19,3
1019,502,20,1
1020,502,12,1
1021,503,20,2
1022,503,12,1
1023,504,1,3
1024,504,7,2
1025,505,18,3
1026,505,11,2
1027,506,2,3
1028,506,20,3
1029,507,19,1
1030,508,7,2
1031,509,5,3
1032,509,14,2
1033,510,11,2
1034,510,15,1
1035,511,4,3
1036,511,3,3
1037,511,2,3
1038,512,2,3
1039,513,11,2
1040,513,10,2
1041,514,11,3
1042,515,6,1
1043,515,4,3
1044,516,6,3
1045,516,16,3
1046,517,10,2
1047,517,2,2
1048,517,1,3
1049,518,19,2
1050,519,14,1
1051,520,9,1
1052,521,15,2
1053,522,18,1
1054,522,5,2
1055,523,1,1
1056,523,16,3
1057,523,20,2
1058,524,2,3
1059,525,5,3
1060,525,19,3
1061,525,6,1
1062,526,17,1
1063,526,20,1
1064,527,1,3
1065,528,17,1
1066,528,3,1
1067,529,16,2
1068,529,4,2
1069,530,16,1
1070,531,11,3
1071,532,5,3
1072,532,3,2
1073,533,2,2
1074,533,20,3
1075,533,1,3
1076,534,6,3
1077,534,7,1
1078,535,19,1
1079,536,14,3
1080,536,15,2
1081,537,11,1
1082,538,4,3
1083,538,2,1
1084,538,19,3
1085,539,11,1
1086,539,8,1
1087,540,12,2
1088,540,9,3
1089,541,11,3
1090,541,14,2
1091,542,9,2
1092,542,15,2
1093,543,12,2
1094,543,15,1
1095,543,8,2
1096,544,5,3
1097,544,1,3
1098,544,4,3
1099,545,17,3
1100,545,7,2
1101,546,4,1
1102,546,11,2
1103,546,18,3
1104,547,20,2
1105,547,3,1
1106,547,19,3
1107,548,2,1
1108,548,16,3
1109,548,19,2
1110,549,9,2
1111,549,1,1
1112,550,19,3
1113,551,18,2
1114,551,4,1
1115,551,20,1
1116,552,14,3
1117,552,9,1
1118,552,13,3
1119,553,10,2
1120,553,20,2
1121,553,18,2
1122,554,16,1
1123,555,18,1
1124,556,8,2
1125,557,18,3
1126,557,10,3
1127,558,20,1
1128,558,17,3
1129,558,5,1
1130,559,12,1
1131,559,8,3
1132,559,20,3
1133,560,5,1
1134,561,14,1
1135,561,1,2
1136,562,12,1
1137,563,10,3
1138,563,17,3
1139,563,7,2
1140,564,15,2
1141,564,6,3
1142,564,10,3
1143,565,2,1
1144,565,4,3
1145,565,17,3
1146,566,17,1
1147,567,18,3
1148,567,6,2
1149,568,15,1
1150,568,8,1
1151,568,9,2
1152,569,8,1
1153,569,7,2
1154,570,18,2
1155,571,11,2
1156,571,19,2
1157,571,2,1
1158,572,8,1
1159,572,4,1
1160,573,20,1
1161,574,8,1
1162,574,19,2
1163,575,9,3
1164,575,1,1
1165,576,6,2
1166,576,15,2
1167,577,13,1
1168,577,17,2
1169,578,11,2
1170,578,18,2
1171,579,7,1
1172,579,10,3
1173,579,14,3
1174,580,16,2
1175,580,20,2
1176,581,17,1
1177,581,1,3
1178,581,2,2
1179,582,17,1
1180,583,15,1
1181,584,10,1
1182,585,18,3
1183,585,16,2
1184,586,8,3
1185,586,14,2
1186,586,9,3
1187,587,20,1
1188,587,7,2
1189,587,13,3
1190,588,4,2
1191,588,7,1
1192,588,15,1
1193,589,4,1
1194,590,1,2
1195,590,10,1
1196,590,6,1
1197,591,14,3
1198,591,19,2
1199,591,18,2
1200,592,16,1
1201,592,17,3
1202,592,10,3
1203,593,4,1
1204,594,3,2
1205,594,14,2
1206,594,17,3
1207,595,5,3
1208,595,14,1
1209,595,15,1
1210,596,10,2
1211,596,13,1
1212,596,12,2
1213,597,5,3
1214,597,3,2
1215,597,8,2
1216,598,19,2
1217,598,20,3
1218,598,16,1
1219,599,1,3
1220,599,20,2
1221,599,16,2
1222,600,9,1
1223,600,14,2
1224,601,15,1
1225,601,9,2
1226,602,1,1
1227,602,7,1
1228,603,12,1
1229,603,4,1
1230,603,13,3
1231,604,8,3
1232,604,18,2
1233,604,2,3
1234,605,7,3
1235,605,3,2
1236,605,9,2
1237,606,4,1
1238,606,12,3
1239,607,8,2
1240,607,16,2
1241,608,6,1
1242,609,19,3
1243,609,2,3
1244,610,15,3
1245,610,5,1
1246,611,17,2
1247,611,3,3
1248,611,2,1
1249,612,20,1
1250,613,3,2
1251,613,11,1
1252,614,7,1
1253,614,11,3
1254,614,5,1
1255,615,2,3
1256,615,4,3
1257,615,8,1
1258,616,1,2
1259,616,7,3
1260,616,13,2
1261,617,12,2
1262,617,9,3
1263,618,12,3
1264,618,17,1
1265,618,6,3
1266,619,6,1
1267,620,12,1
1268,620,17,1
1269,620,1,3
1270,621,4,3
1271,621,8,2
1272,622,16,2
1273,622,7,2
1274,623,20,2
1275,624,11,3
1276,624,4,3
1277,624,7,1
1278,625,11,1
1279,625,19,1
1280,625,9,3
1281,626,19,2
1282,627,1,2
1283,627,10,2
1284,628,12,3
1285,628,4,1
1286,628,2,3
1287,629,15,3
1288,629,18,2
1289,630,20,1
1290,630,16,3
1291,630,14,2
1292,631,3,2
1293,631,4,3
1294,631,6,3
1295,632,18,3
1296,633,10,1
1297,633,7,1
1298,633,20,1
1299,634,15,2
1300,635,16,3
1301,635,2,3
1302,636,12,2
1303,636,14,1
1304,637,20,1
1305,637,17,3
1306,637,3,3
1307,638,8,1
1308,638,20,3
1309,639,6,3
1310,639,12,1
1311,640,10,3
1312,641,10,3
1313,641,2,1
1314,642,18,1
1315,642,15,1
1316,643,11,2
1317,643,5,3
1318,644,12,1
1319,644,11,3
1320,644,17,1
1321,645,8,2
1322,645,20,3
1323,645,10,1
1324,646,16,1
1325,646,15,3
1326,647,2,1
1327,647,13,1
1328,647,18,2
1329,648,16,2
1330,649,16,3
1331,649,12,1
1332,649,1,1
1333,650,7,1
1334,650,3,1
1335,650,5,3
1336,651,5,1
1337,651,20,1
1338,652,10,1
1339,652,19,1
1340,653,4,3
1341,654,19,1
1342,655,14,2
1343,655,3,1
1344,656,8,1
1345,656,19,2
1346,656,12,3
1347,657,8,3
1348,657,11,1
1349,657,16,3
1350,658,17,3
1351,658,18,2
1352,658,8,3
1353,659,13,1
1354,659,18,2
1355,660,10,3
1356,661,6,3
1357,661,7,2
1358,661,14,3
1359,662,7,2
1360,662,12,1
1361,662,15,2
1362,663,14,1
1363,664,9,1
1364,664,19,1
1365,664,14,2
1366,665,10,1
1367,666,13,1
1368,667,17,3
1369,667,5,3
1370,667,3,3
1371,668,15,2
1372,668,2,1
1373,669,10,3
1374,669,11,2
1375,670,3,3
1376,670,6,1
1377,670,8,2
1378,671,20,3
1379,671,13,2
1380,672,14,2
1381,672,2,1
1382,672,18,1
1383,673,8,3
1384,673,12,2
1385,673,2,2
1386,674,16,1
1387,674,8,1
1388,675,11,3
1389,675,4,2
1390,676,1,3
1391,676,11,2
1392,677,11,3
1393,678,3,1
1394,678,4,1
1395,678,11,1
1396,679,4,1
1397,679,2,3
1398,680,8,2
1399,681,8,3
1400,681,9,2
1401,681,4,1
1402,682,5,1
1403,682,9,3
1404,682,11,1
1405,683,8,2
1406,683,20,1
1407,684,14,2
1408,684,12,1
1409,685,6,2
1410,685,12,3
1411,685,10,1
1412,686,19,2
1413,687,17,2
1414,688,8,1
1415,688,14,2
1416,688,16,3
1417,689,1,3
1418,689,11,3
1419,690,14,3
1420,690,18,2
1421,690,3,2
1422,691,1,1
1423,691,12,3
1424,691,6,3
1425,692,10,3
1426,692,9,3
1427,692,18,2
1428,693,14,2
1429,694,19,1
1430,695,1,2
1431,695,19,3
1432,696,10,1
1433,696,20,2
1434,696,13,2
1435,697,4,2
1436,697,14,2
1437,698,20,3
1438,699,15,1
1439,700,18,3
1440,700,3,3
1441,700,17,3
1442,701,15,2
1443,702,13,1
1444,703,3,1
1445,703,12,3
1446,704,4,1
1447,704,1,2
1448,705,19,2
1449,705,4,3
1450,705,16,1
1451,706,8,2
1452,707,4,1
1453,707,6,1
1454,707,12,3
1455,708,3,3
1456,708,14,3
1457,708,7,1
1458,709,19,3
1459,709,11,3
1460,709,5,2
1461,710,13,2
1462,711,19,2
1463,711,7,1
1464,712,16,3
1465,712,7,3
1466,712,15,3
1467,713,19,2
1468,714,5,2
1469,715,12,1
1470,716,18,2
1471,717,15,2
1472,717,13,1
1473,718,19,1
1474,718,6,3
1475,718,11,1
1476,719,15,3
1477,719,5,3
1478,720,7,1
1479,720,12,1
1480,721,10,2
1481,722,12,2
1482,723,9,2
1483,723,18,3
1484,724,6,1
1485,724,8,3
1486,724,10,1
1487,725,2,2
1488,725,4,1
1489,726,17,1
1490,726,1,1
1491,726,8,2
1492,727,5,1
1493,727,9,1
1494,727,2,1
1495,728,10,3
1496,728,3,2
1497,728,7,3
1498,729,3,3
1499,729,13,3
1500,730,10,1
1501,731,15,1
1502,732,16,1
1503,732,9,1
1504,733,4,2
1505,734,8,2
1506,734,15,3
1507,734,7,2
1508,735,7,2
1509,736,14,2
1510,736,13,3
1511,737,19,1
1512,737,7,2
1513,738,17,1
1514,739,18,1
1515,740,14,2
1516,740,18,1
1517,741,1,2
1518,741,10,3
1519,741,14,1
1520,742,2,2
1521,743,3,3
1522,743,2,2
1523,743,19,1
1524,744,17,2
1525,745,16,2
1526,745,9,2
1527,746,16,1
1528,746,15,3
1529,747,11,2
1530,747,14,3
1531,748,8,2
1532,748,4,3
1533,748,7,1
1534,749,5,2
1535,749,16,3
1536,750,12,1
1537,750,13,3
1538,750,16,1
1539,751,16,3
1540,751,11,2
1541,751,6,3
1542,752,20,3
1543,752,6,3
1544,752,7,2
1545,753,3,1
1546,753,5,2
1547,754,16,1
1548,755,19,3
1549,755,4,3
1550,755,16,1
1551,756,8,1
1552,756,14,3
1553,757,10,2
1554,757,3,2
1555,757,8,2
1556,758,9,1
1557,758,18,2
1558,758,20,3
1559,759,8,2
1560,759,14,3
1561,760,10,3
1562,760,11,2
1563,761,18,2
1564,761,8,2
1565,762,6,1
1566,762,11,2
1567,762,19,1
1568,763,9,2
1569,764,17,1
1570,764,9,1
1571,764,20,1
1572,765,5,2
1573,766,5,1
1574,766,12,1
1575,766,7,3
1576,767,13,3
1577,767,9,2
1578,767,6,2
1579,768,8,2
1580,768,19,2
1581,769,6,2
1582,769,10,1
1583,769,5,3
1584,770,17,2
1585,770,10,3
1586,771,4,1
1587,771,7,1
1588,771,8,1
1589,772,20,2
1590,773,6,2
1591,773,8,3
1592,773,13,1
1593,774,12,3
1594,775,10,2
1595,775,2,1
1596,775,6,3
1597,776,12,3
1598,776,20,3
1599,777,1,3
1600,777,18,1
1601,777,16,1
1602,778,2,1
1603,778,19,1
1604,779,12,3
1605,779,7,3
1606,780,5,2
1607,781,8,2
1608,781,9,1
1609,782,6,3
1610,782,13,1
1611,782,4,3
1612,783,19,1
1613,783,6,1
1614,783,4,3
1615,784,12,1
1616,785,11,1
1617,785,1,1
1618,786,16,2
1619,787,18,3
1620,787,20,3
1621,788,20,3
1622,789,11,2
1623,790,9,1
1624,791,15,1
1625,791,1,1
1626,791,6,3
1627,792,13,3
1628,792,17,3
1629,793,7,2
1630,793,1,2
1631,794,9,2
1632,795,11,1
1633,795,3,1
1634,796,11,2
1635,797,12,3
1636,798,19,1
1637,798,18,2
1638,799,3,3
1639,800,3,3
1640,800,15,2
1641,801,11,2
1642,801,13,3
1643,801,19,1
1644,802,14,2
1645,802,10,2
1646,802,7,1
1647,803,14,2
1648,803,19,3
1649,804,7,2
1650,805,12,2
1651,805,1,3
1652,806,14,3
1653,806,15,3
1654,806,17,1
1655,807,17,3
1656,807,6,3
1657,808,20,3
1658,809,17,2
1659,809,1,1
1660,810,4,3
1661,811,5,1
1662,811,11,1
